State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,0.52
Johor,2014,1,2,0.80
Johor,2014,1,3,4.94
Johor,2014,1,4,17.01
Johor,2014,1,5,6.00
Johor,2014,1,6,14.46
Johor,2014,1,7,12.61
Johor,2014,1,8,42.44
Johor,2014,1,9,49.82
Johor,2014,1,10,11.00
Johor,2014,1,11,50.67
Johor,2014,1,12,9.97
Johor,2014,1,13,11.18
Johor,2014,1,14,8.19
Johor,2014,1,15,33.15
Johor,2014,1,16,84.86
Johor,2014,1,17,85.13
Johor,2014,1,18,8.29
Johor,2014,1,19,0.70
Johor,2014,1,20,5.38
Johor,2014,1,21,7.97
Johor,2014,1,22,19.09
Johor,2014,1,23,48.25
Johor,2014,1,24,17.97
Johor,2014,1,25,12.78
Johor,2014,1,26,28.20
Johor,2014,1,27,16.70
Johor,2014,1,28,18.81
Johor,2014,1,29,43.65
Johor,2014,1,30,56.53
Johor,2014,1,31,11.67
Johor,2014,2,1,8.52
Johor,2014,2,2,7.62
Johor,2014,2,3,5.12
Johor,2014,2,4,1.02
Johor,2014,2,5,10.24
Johor,2014,2,6,1.36
Johor,2014,2,7,0.11
Johor,2014,2,8,0.05
Johor,2014,2,9,0.08
Johor,2014,2,10,0.23
Johor,2014,2,11,0.78
Johor,2014,2,12,0.15
Johor,2014,2,13,0.11
Johor,2014,2,14,0.50
Johor,2014,2,15,0.17
Johor,2014,2,16,0.43
Johor,2014,2,17,1.18
Johor,2014,2,18,0.56
Johor,2014,2,19,0.29
Johor,2014,2,20,0.42
Johor,2014,2,21,0.26
Johor,2014,2,22,0.13
Johor,2014,2,23,0.28
Johor,2014,2,24,0.10
Johor,2014,2,25,0.05
Johor,2014,2,26,0.45
Johor,2014,2,27,0.55
Johor,2014,2,28,0.11
Johor,2014,3,1,0.01
Johor,2014,3,2,0.05
Johor,2014,3,3,0.07
Johor,2014,3,4,0.02
Johor,2014,3,5,0.30
Johor,2014,3,6,0.97
Johor,2014,3,7,0.46
Johor,2014,3,8,1.01
Johor,2014,3,9,0.30
Johor,2014,3,10,0.69
Johor,2014,3,11,1.20
Johor,2014,3,12,1.03
Johor,2014,3,13,9.13
Johor,2014,3,14,0.09
Johor,2014,3,15,0.06
Johor,2014,3,16,0.63
Johor,2014,3,17,0.12
Johor,2014,3,18,0.02
Johor,2014,3,19,0.35
Johor,2014,3,20,0.95
Johor,2014,3,21,0.26
Johor,2014,3,22,2.14
Johor,2014,3,23,0.95
Johor,2014,3,24,0.43
Johor,2014,3,25,0.77
Johor,2014,3,26,0.70
Johor,2014,3,27,0.30
Johor,2014,3,28,0.14
Johor,2014,3,29,1.53
Johor,2014,3,30,2.56
Johor,2014,3,31,3.70
Johor,2014,4,1,5.91
Johor,2014,4,2,3.99
Johor,2014,4,3,0.71
Johor,2014,4,4,0.46
Johor,2014,4,5,0.00
Johor,2014,4,6,0.45
Johor,2014,4,7,0.27
Johor,2014,4,8,0.87
Johor,2014,4,9,2.25
Johor,2014,4,10,0.96
Johor,2014,4,11,1.42
Johor,2014,4,12,2.16
Johor,2014,4,13,0.87
Johor,2014,4,14,13.57
Johor,2014,4,15,5.95
Johor,2014,4,16,4.50
Johor,2014,4,17,16.20
Johor,2014,4,18,4.84
Johor,2014,4,19,5.89
Johor,2014,4,20,3.31
Johor,2014,4,21,6.28
Johor,2014,4,22,4.62
Johor,2014,4,23,10.16
Johor,2014,4,24,6.31
Johor,2014,4,25,0.95
Johor,2014,4,26,2.39
Johor,2014,4,27,0.80
Johor,2014,4,28,0.94
Johor,2014,4,29,2.26
Johor,2014,4,30,0.04
